amount,merchant,description,label
456.5,Shell,Statement several single successful.,normal
76.68,Netflix,Cultural red against food happy yard.,entertainment
177.83,Walmart,Short down whole decade field.,groceries
182.68,Walmart,Thank world rest discover himself.,normal
177.0,LocalMarket,Phone bad least the short sort.,groceries
680.09,Walmart,Simply their type member.,normal
338.52,InsuranceCo,Reach human along pretty those.,utilities
13.41,Shell,Develop high field better.,normal
588.01,InsuranceCo,Serve might source including argue.,normal
512.99,Amazon,Condition beyond company.,normal
211.03,Starbucks,Day all blue positive prevent.,normal
786.47,Shell,News size turn coach personal hour enjoy.,normal
121.73,Shell,Young happen performance military detail.,utilities
389.94,Walmart,Wear time scientist institution.,normal
198.49,Netflix,Hope effort issue news.,normal
311.2,LocalMarket,Hand use light national level.,normal
137.73,LocalMarket,Lay peace place party remain goal material produce.,groceries
470.85,Shell,Community happen site pick buy.,normal
264.69,LocalMarket,Exist camera particularly direction because good get.,groceries
180.54,Starbucks,Culture knowledge born look final page.,entertainment
108.07,Netflix,Dream exactly produce more energy.,entertainment
222.63,Walmart,National rock late particular plant type.,groceries
124.45,Netflix,Up out especially range school say hot board.,normal
55.71,Starbucks,Treat record evidence strong article kitchen old.,entertainment
617.76,Walmart,Thank hard keep little hard single young.,normal
651.05,Amazon,Goal your into newspaper body back compare.,normal
737.05,Walmart,Without include ago owner visit truth.,normal
444.23,Shell,Summer young source agree source wonder political.,utilities
790.59,Starbucks,Pattern health media performance.,normal
179.14,LocalMarket,My their number special environment.,groceries
411.6,Walmart,Two various sea where fish product.,normal
648.84,Starbucks,President final certain account visit.,normal
165.28,Starbucks,Laugh indicate million country throughout.,entertainment
185.03,Shell,Discuss pressure decide use continue street later.,normal
192.77,LocalMarket,Hospital human method budget box success.,groceries
774.71,Starbucks,Writer people within authority hundred.,normal
497.11,InsuranceCo,Experience break analysis PM true election.,utilities
531.06,Netflix,Never describe moment huge pretty.,normal
99.38,InsuranceCo,Light fall artist language total media.,normal
460.25,Starbucks,School about reveal late player my make role.,normal
82.97,Shell,Free relationship not single sister expect commercial seven.,utilities
356.24,Walmart,Single fly standard manager.,normal
120.27,Shell,Network fire less old current against goal.,utilities
80.55,Starbucks,Serve institution mean skill either part author.,entertainment
172.27,Starbucks,Nice idea audience including seven.,entertainment
22.57,Starbucks,Far stock cover strategy create.,entertainment
439.91,InsuranceCo,Side teach stuff goal gun.,utilities
185.6,Walmart,Mrs five throughout threat page space perhaps.,normal
656.77,LocalMarket,Something TV sell task.,normal
113.09,Starbucks,Free system owner travel.,entertainment
1396.47,Amazon,Source some kind third level.,fraudulent
359.07,Amazon,Quite something will beat her Democrat.,normal
260.83,Walmart,Through but late current.,groceries
31.63,InsuranceCo,Clearly us outside remember series.,normal
176.59,LocalMarket,Build energy commercial.,normal
165.6,InsuranceCo,Long give first production popular especially.,utilities
1830.12,InsuranceCo,Face eight third significant resource partner.,fraudulent
325.85,Walmart,Over member hundred real west force.,normal
569.57,Netflix,He thus color eat it local choice stuff.,normal
255.78,LocalMarket,Mouth beat catch.,groceries
633.29,InsuranceCo,Often different police event father apply many.,normal
193.49,InsuranceCo,My research blood increase.,normal
54.75,InsuranceCo,Evening be as become paper social camera.,utilities
778.36,Shell,Join money question price though finally whether where.,normal
174.66,Walmart,Speech leader one government meet there.,normal
701.18,Netflix,Oil similar care conference when yourself.,normal
279.67,LocalMarket,Camera food star draw window from.,normal
783.4,Starbucks,Process professor worker even she.,normal
306.41,Walmart,Ok present factor blue glass form.,normal
536.32,InsuranceCo,Style air physical year effect drive.,normal
522.23,Starbucks,With sure past deep marriage give language.,normal
121.75,Starbucks,Daughter share trip car table year sort.,normal
529.39,InsuranceCo,Performance style result recent generation wear he.,normal
346.67,Starbucks,Seat dog us unit station tonight.,normal
170.56,Walmart,Sort pick today.,groceries
469.12,Starbucks,Purpose energy understand drop.,normal
592.9,LocalMarket,True there quality every.,normal
429.47,Shell,Agency behavior do than bar.,utilities
1108.23,InsuranceCo,Whole which black level well.,fraudulent
54.96,Starbucks,Stock weight ready song case natural former.,entertainment
518.43,Netflix,Do security television raise begin sound.,normal
159.62,Netflix,Keep painting amount likely carry.,entertainment
30.25,Walmart,Bit so their land.,groceries
313.42,Amazon,Fear win but ready actually force.,normal
350.39,InsuranceCo,Fall amount interesting today attention senior.,normal
142.61,Starbucks,Per his glass leader sound which.,normal
22.48,Starbucks,Laugh toward information ahead.,entertainment
15.8,Netflix,Under clearly move outside.,normal
81.26,Netflix,Born mission mother speech ability.,entertainment
195.49,Netflix,Forget pick majority hard.,entertainment
208.67,Starbucks,Development answer marriage visit though main five.,normal
173.34,LocalMarket,Reason skin military spring push.,groceries
494.42,Amazon,American wind no prepare find experience.,normal
206.96,LocalMarket,Medical impact poor animal avoid.,normal
191.12,Netflix,Democratic player loss skin address some.,normal
731.19,Walmart,Social check as station claim.,normal
703.57,Amazon,Office from rock among almost.,normal
39.01,Netflix,Industry tough authority model crime consumer.,normal
10.73,Starbucks,Pull she coach campaign.,entertainment
49.98,InsuranceCo,Reduce administration kid camera ground rate hard.,normal
6.18,Netflix,Occur just range until yeah official watch.,entertainment
589.32,InsuranceCo,Into traditional writer wait floor wait effect.,normal
1057.97,Amazon,Sister available my score.,fraudulent
280.57,Walmart,Recently off tax pay.,groceries
541.96,InsuranceCo,Follow easy rate.,normal
58.8,LocalMarket,Become any property director perhaps.,groceries
244.25,Shell,Ten minute career federal weight option.,utilities
340.67,Amazon,Democrat occur Democrat bit add like.,normal
448.38,Shell,Enjoy expect room produce mouth bit need.,utilities
762.39,InsuranceCo,Sing religious leg major popular prepare.,normal
174.84,Starbucks,Either fact institution.,entertainment
4.3,Amazon,Account just miss again school red.,normal
10.93,Netflix,Themselves form live officer trip bank.,entertainment
436.48,InsuranceCo,Quite operation form face manager factor.,utilities
2338.07,Amazon,Marriage happen during trip.,fraudulent
122.04,Amazon,Like sort whom so want key five.,normal
399.27,Amazon,Word him table upon.,normal
799.98,Starbucks,Decide look foreign great.,normal
1541.25,Amazon,Move agreement change for pretty room how technology.,fraudulent
94.97,Starbucks,Do group military direction one voice economic hot.,entertainment
49.62,Walmart,Civil response serious need material window require.,groceries
311.69,Amazon,Sort pick sea option night painting.,normal
58.02,InsuranceCo,Hundred ago although.,utilities
146.07,Shell,Hand official everyone explain from man to.,normal
133.05,Netflix,Dream adult these.,entertainment
273.62,Netflix,Message choice five reduce sport great contain.,normal
131.41,Starbucks,Military sure there finish well just go main.,entertainment
113.82,Starbucks,Such do war management everything area Mrs.,entertainment
154.83,Walmart,Just explain finally evidence finally democratic approach alone.,groceries
110.86,Amazon,Finish sing such likely thousand rise lose.,normal
536.83,Amazon,Form we include bank word act.,normal
711.7,LocalMarket,Join reduce material pressure sit goal because.,normal
24.11,Netflix,Fire reduce follow month second ago fall.,entertainment
781.97,Shell,Attorney minute without ground.,normal
121.73,LocalMarket,Arrive whole safe conference put minute treatment.,groceries
188.12,Amazon,Resource letter same.,normal
215.67,Starbucks,Modern dog subject she myself tax.,normal
640.12,Starbucks,Organization campaign leader event ahead.,normal
545.78,Netflix,Once section project interesting serious big wall.,normal
130.82,Shell,Ten trial newspaper huge direction.,normal
361.36,LocalMarket,Eat door nice top.,normal
351.66,Shell,Trip drive order deal list direction.,utilities
27.5,Netflix,Knowledge visit last feeling.,entertainment
205.34,InsuranceCo,Role process film build.,utilities
537.57,Starbucks,Exactly realize plant suddenly management gas.,normal
788.36,Walmart,Democratic property because increase.,normal
264.39,Shell,Newspaper Congress part ready ago cover.,utilities
124.23,Netflix,Join whose develop management present people skill someone.,normal
66.24,Walmart,Bill dinner piece carry base.,groceries
153.21,Walmart,Respond brother present before this road alone.,groceries
634.93,InsuranceCo,Old art such health administration.,normal
33.64,InsuranceCo,Traditional under trouble per bank author.,normal
250.0,Shell,Whose stay agent expect hot various.,utilities
440.93,Walmart,Security program a magazine through evening key.,normal
582.81,InsuranceCo,Step trade child government energy finish.,normal
164.79,InsuranceCo,Pass piece short magazine them later site.,normal
637.22,LocalMarket,Success room Mr treatment song people hundred.,normal
95.38,Netflix,Born decide help.,entertainment
286.79,Walmart,Respond hard big reach.,groceries
726.62,InsuranceCo,Brother hold fast position thousand million.,normal
392.49,InsuranceCo,Either exactly when picture thought.,normal
91.77,InsuranceCo,Area area cut citizen individual.,normal
70.27,InsuranceCo,Factor oil answer degree appear like most position.,utilities
85.95,Starbucks,Store all garden leave available.,entertainment
168.8,LocalMarket,Land degree ok.,normal
580.15,Starbucks,Important far leader.,normal
84.65,Starbucks,Artist foreign base bill former.,normal
71.71,Walmart,Most open beat west water.,groceries
517.16,Amazon,College member probably where sound daughter.,normal
670.83,Amazon,Science begin rich for new usually more.,normal
508.97,Amazon,Each station attack science crime before leader.,normal
435.16,InsuranceCo,Candidate exist here instead evening.,utilities
272.76,Shell,Set door city task.,normal
309.06,InsuranceCo,Understand month pull.,normal
169.12,Walmart,Film else cup tough song.,groceries
367.88,Shell,Prepare price make worry issue require someone firm.,utilities
225.85,LocalMarket,Service together response no attack one.,groceries
